,id,first_name,last_name,banned,storage,created,plan,updated,consumer_plan,business_plan
0,5c6b58f8-e102-4d37-aed5-1b0d662f7596,Austin,Hess,False,0,2019-10-10 14:31:49.885435+00,4,2020-02-06 11:18:53.424105+00,1,0
1,7652295b-5416-4aec-8876-6ad681e8cc9c,Robert,Austin,False,0,2019-10-10 15:30:25.308925+00,4,2021-07-20 10:51:47.125608+00,2,0
2,01997ced-3588-4660-a74b-32941bff3f6c,Steven,Johnson,False,50000000000,2019-10-10 15:55:46.235778+00,4,2021-10-26 08:57:30.328406+00,2,0
3,b1540c0f-744e-4ee8-ba18-b0f09a8cba14,Andrew,Chambers,False,0,2019-10-10 17:14:27.178114+00,4,2022-01-14 14:07:44.907282+00,2,0
4,f76b7717-ca2d-4e38-a71f-60c9aeba2181,Stephanie,Delacruz,False,0,2019-10-10 17:14:44.998347+00,4,2021-02-01 15:23:48.730473+00,2,0
5,a0455127-899d-4195-a2d5-433e8671fdbe,Ruth,Martinez,False,0,2019-10-10 17:14:46.272292+00,4,2020-12-15 02:45:41.526293+00,2,0
6,e560fc3f-acfd-41d7-a04b-20f84f024634,Megan,Camacho,False,0,2019-10-17 16:30:49.882666+00,4,2020-12-16 19:53:12.916013+00,2,0
7,34989c4f-488f-4179-a020-15155cbdbb5c,Brendan,Howe,False,0,2019-10-17 17:51:37.022409+00,4,2020-12-01 20:45:04.209974+00,2,0
8,e5616246-1527-4656-9d01-9d81a2176878,Terri,Roth,False,0,2019-10-17 19:02:23.045498+00,4,2020-02-11 18:24:46.180703+00,1,0
9,20acb1e2-e76f-41af-9fe7-bc0f9cfd8d24,Cynthia,Paul,False,0,2019-10-18 18:30:29.918923+00,4,2021-03-11 10:27:46.680135+00,2,0
10,0dac515b-e19e-4a53-85fe-444c82cec1dc,Tracey,Sparks,False,0,2019-10-19 09:08:57.551851+00,0,2020-01-12 16:19:39.420415+00,2,0
11,1f3ed7cd-cc7d-41be-86b2-a9612f9abf16,Carrie,Robinson,False,0,2019-10-19 11:01:16.361249+00,4,2021-11-15 11:13:36.226705+00,1,0
12,ab741f91-ce69-4c46-819e-324803377640,Whitney,Robertson,False,10000000001,2019-10-19 18:14:39.616722+00,4,2022-01-25 11:00:36.218649+00,2,0
13,cc2475b9-9788-4255-83f0-9357bade2630,Joy,Zamora,False,0,2019-10-20 19:48:41.585088+00,4,2022-01-25 15:49:16.867753+00,1,0
14,e44c649e-08e7-4d03-952b-7b597652a191,Jonathan,Wright,False,5000000000,2019-10-21 12:30:19.651392+00,0,2020-02-14 17:51:11.705872+00,1,0
15,eddccb02-cab1-4d8b-b9b1-0891698448fa,Jessica,Finley,False,0,2019-10-21 19:33:56.192846+00,4,2020-12-15 14:27:02.050373+00,2,0
16,12fad181-76f9-4ec1-a4c7-a2dcbb63e18a,Kevin,Bradley,False,0,2019-10-22 12:51:24.03954+00,0,2020-01-12 16:19:39.420415+00,1,0
17,1bc60cac-fa8c-45aa-931d-e6dc7425fcc3,Cynthia,Nelson,False,1000000000000,2019-10-22 19:52:43.309583+00,4,2022-02-10 12:43:53.082982+00,2,2
18,e34d7e55-e52a-4e1e-8b31-4369f9748b23,Kayla,Young,False,50000000000,2019-10-22 20:46:03.863792+00,4,2020-02-06 11:18:53.424105+00,1,0
19,93fe60b4-3424-4bed-99ba-5c2722e421e1,Benjamin,Smith,False,0,2019-10-22 23:05:14.052185+00,4,2020-02-06 11:18:53.424105+00,1,0
20,1f8c0519-ffbd-455d-8c1b-9388e0c57a33,Andrew,Carr,False,0,2019-10-23 13:59:04.389488+00,4,2020-12-04 10:14:21.051356+00,2,0
21,d9dfc66a-b1a5-4e78-a164-b0b2f6ac815d,Travis,Liu,False,50000000000,2019-10-23 17:51:12.848494+00,0,2020-01-12 16:19:39.420415+00,1,0
22,5f0f99fc-e26c-4422-bbd1-7849126c1f4e,Ann,Carlson,False,0,2019-10-23 18:42:56.933133+00,4,2020-12-21 11:09:35.02887+00,2,0
23,20f458b0-0703-455c-9987-da6383ddd01a,Tonya,Bradford,False,0,2019-10-25 06:19:14.628013+00,0,2020-01-12 16:19:39.420415+00,1,0
24,e70ee03b-ec4b-4351-9cdc-f62f457b5d61,Patricia,Maldonado,False,2000000000,2019-11-06 12:15:29.523717+00,0,2021-01-19 14:48:36.481631+00,1,0
25,b473f771-c4e5-4f02-b1f3-41e9b20f3620,Ryan,Robinson,False,0,2019-11-08 14:41:02.870261+00,4,2022-01-12 08:47:37.622215+00,2,0
26,3091b69d-9f60-44c6-8173-609fd7539a6f,Charles,Carlson,False,0,2019-11-08 14:49:02.656509+00,4,2020-02-06 11:18:53.424105+00,1,0
27,af597274-c0c6-42bd-aee8-34e8e1da7709,David,Ford,False,0,2019-11-08 15:38:57.95245+00,0,2020-01-12 16:19:39.420415+00,1,0
28,2771a284-099f-4426-bb0c-b5e112d438bf,Melissa,Campbell,False,0,2019-11-08 15:40:03.306152+00,0,2020-01-12 16:19:39.420415+00,1,0
29,b74b6b0d-db05-4b65-b2d3-5d850a6a8211,Timothy,Patton,False,0,2019-11-08 15:41:06.3596+00,0,2020-01-12 16:19:39.420415+00,1,0
30,b22a5c0e-67bd-4115-8b51-f0b3c285cb75,Ruben,Cooper,False,50000000000,2019-11-08 16:28:03.166365+00,0,2020-01-12 16:19:39.420415+00,1,0
31,a06eede5-f43b-4b92-9ba1-f7b5ddfde4a1,Eric,Horn,False,0,2019-11-08 16:45:12.934873+00,1,2020-02-12 09:36:00.239461+00,1,0
32,c1e8d1e7-ce9c-4a9e-b361-c61ee95ef497,Douglas,Perez,False,0,2019-11-08 17:09:00.429416+00,0,2021-04-15 14:38:19.74881+00,2,0
33,a3525bf3-61cb-4b49-a0c5-fe13b0c47549,Emily,Page,False,0,2019-11-08 17:17:44.921952+00,0,2021-10-01 09:44:32.192213+00,2,0
34,702bf430-a313-4dcf-900b-a158e78d1227,Antonio,Wade,False,0,2019-11-09 13:53:09.860731+00,4,2020-12-11 20:47:28.340095+00,2,0
35,4c50c2d0-ca8f-43e9-baed-3923ead5fd10,Brady,Moore,False,50000000000,2019-11-09 16:36:41.450219+00,0,2020-01-12 16:19:39.420415+00,1,0
36,26bac475-91c3-42aa-abc6-f8261ef2b165,Aaron,Stevenson,False,0,2019-11-09 23:12:22.649616+00,4,2020-02-06 11:18:53.424105+00,1,0
37,5b066b12-5c14-4170-9255-687e659c8820,Grace,White,False,50000000000,2019-11-10 09:53:35.042203+00,0,2020-12-20 15:13:17.64275+00,2,0
38,5e68d9aa-da6f-4197-a815-8f0ffa0b9dc9,Adam,Stewart,False,50000000000,2019-11-11 15:06:49.477069+00,0,2020-01-12 16:19:39.420415+00,1,0
39,9a543716-5970-4b1a-b4e2-508149f04f24,Christopher,Tucker,False,0,2019-11-11 17:15:48.721518+00,0,2021-12-04 14:39:02.259634+00,2,0
40,0be9b5bb-4050-4a8d-8881-0ca3b46169c6,Jaclyn,Brown,False,0,2019-11-11 18:12:25.608921+00,4,2022-02-25 12:38:30.386889+00,2,0
41,436c7009-4d0a-4660-bbf8-a66212bc78b6,Natasha,Chavez,False,0,2019-11-11 21:10:18.722685+00,4,2020-12-10 16:19:25.759041+00,2,0
42,e9d70023-2e36-4644-a4e0-2a3c1782aea4,Angela,Taylor,False,0,2019-11-11 21:51:57.881089+00,0,2020-01-12 16:19:39.420415+00,2,0
43,0a568305-db51-425f-81d6-f1f7883180c6,Rachel,Branch,False,50000000000,2019-11-12 08:50:00.347077+00,0,2020-01-12 16:19:39.420415+00,1,0
44,5cc0e14a-51e5-4c5f-a63a-bc318bbc6714,Randall,Carson,False,0,2019-11-12 10:39:02.358703+00,0,2020-01-12 16:19:39.420415+00,1,0
45,73ee1b86-842d-4ec6-bde6-eca11ee8b635,Edward,Carroll,False,0,2019-11-12 15:25:23.284906+00,0,2021-01-31 17:31:37.727685+00,2,0
46,7d0c2d91-db82-4306-9dcb-6ecca03a43d5,Nichole,Conrad,False,0,2019-11-12 15:28:04.449267+00,0,2020-01-12 16:19:39.420415+00,2,0
47,998f2ccf-e746-4528-b4d5-a28e590a0131,Ann,Jones,False,0,2019-11-12 15:28:16.985518+00,0,2021-01-21 16:09:19.352306+00,2,0
48,32a69ef5-2728-447a-9c48-fc1ec58c4679,Larry,Reed,False,0,2019-11-12 17:30:44.66536+00,0,2020-01-12 16:19:39.420415+00,1,0
49,1c241328-9e06-49b0-b36f-80ac11cf7c1b,Robert,Lopez,False,0,2019-11-12 18:16:32.232172+00,4,2021-01-10 07:07:39.81427+00,2,0
50,3e883790-1238-4abe-b15e-155da9a93fad,Samuel,Wood,False,0,2019-11-12 19:50:08.11451+00,0,2020-01-12 16:19:39.420415+00,1,0
51,46891003-2820-48cd-a24f-c6849dcf8e7a,John,Ruiz,False,50000000000,2019-11-12 22:21:47.580731+00,0,2020-01-12 16:19:39.420415+00,1,0
52,5eb4aabb-fd34-4802-a835-cefe9d292a62,Philip,Fitzgerald,False,50000000000,2019-11-12 23:15:59.804036+00,1,2020-02-06 11:17:50.460441+00,1,0
